,index,Image_ID,Question,Ground_Truth,Question_Type
556,903,6569.JPG,How many buildings can be seen in the image?,6,Simple_Counting
557,904,6569.JPG,What is the condition of road?,non flooded,Condition_Road
558,905,6573.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
559,906,6574.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
560,907,6580.JPG,What is the condition of road?,non flooded,Condition_Road
561,908,6580.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
562,909,6580.JPG,Is the entire road flooded?,No,Yes/No_Road
563,917,6584.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
564,918,6585.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
565,919,6586.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
566,920,6588.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
567,921,6589.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
568,923,6591.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
569,924,6592.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
570,929,6595.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
571,933,6597.JPG,Is the entire road flooded?,Yes,Yes/No_Road
572,934,6597.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
573,935,6597.JPG,What is the condition of the road in this image?,flooded,Condition_Road
574,939,6600.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
575,940,6601.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
576,941,6601.JPG,Is the entire road non flooded?,No,Yes/No_Road
577,942,6601.JPG,What is the condition of the road in this image?,flooded,Condition_Road
578,946,6603.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
579,947,6603.JPG,What is the condition of road?,flooded,Condition_Road
580,948,6603.JPG,Is the entire road non flooded?,No,Yes/No_Road
581,949,6608.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
582,950,6608.JPG,What is the condition of road?,non flooded,Condition_Road
583,951,6608.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
584,957,6610.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
585,958,6610.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
586,959,6610.JPG,What is the condition of the road in this image?,"flooded,non flooded",Condition_Road
587,960,6613.JPG,What is the condition of road?,non flooded,Condition_Road
588,961,6613.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
589,962,6613.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
590,963,6614.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
591,964,6614.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
592,965,6614.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
593,966,6615.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
594,967,6615.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
595,968,6615.JPG,Is the entire road flooded?,No,Yes/No_Road
596,969,6616.JPG,What is the condition of road?,non flooded,Condition_Road
597,970,6616.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
598,971,6616.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
599,972,6617.JPG,What is the condition of road?,non flooded,Condition_Road
600,973,6617.JPG,Is the entire road flooded?,No,Yes/No_Road
601,974,6617.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
602,975,6618.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
603,979,6620.JPG,What is the condition of road?,non flooded,Condition_Road
604,980,6620.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
605,981,6620.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
606,987,6622.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
607,988,6622.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
608,989,6622.JPG,What is the condition of road?,non flooded,Condition_Road
609,990,6623.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
610,991,6623.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
611,992,6623.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
612,996,6625.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
613,997,6625.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
614,998,6625.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
615,1004,6627.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
616,1005,6627.JPG,How many buildings can be seen in this image?,5,Simple_Counting
617,1006,6627.JPG,How many buildings are non flooded in this image?,5,Complex_Counting
618,1007,6627.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
619,1008,6627.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
620,1009,6628.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
621,1010,6628.JPG,How many buildings are non flooded?,3,Complex_Counting
622,1011,6628.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
623,1012,6628.JPG,How many buildings are in the image?,3,Simple_Counting
624,1013,6628.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
625,1022,6633.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
626,1023,6633.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
627,1024,6633.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
628,1028,6635.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
629,1035,6639.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
630,1036,6639.JPG,How many buildings are non flooded?,4,Complex_Counting
631,1037,6639.JPG,How many buildings are in this image?,4,Simple_Counting
632,1038,6639.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
633,1039,6639.JPG,What is the condition of road?,non flooded,Condition_Road
634,1040,6640.JPG,Is the entire road flooded?,No,Yes/No_Road
635,1041,6640.JPG,How many non flooded buildings can be seen in this image?,5,Complex_Counting
636,1042,6640.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
637,1043,6640.JPG,What is the condition of road?,non flooded,Condition_Road
638,1044,6640.JPG,How many buildings can be seen in this image?,5,Simple_Counting
639,1050,6643.JPG,How many buildings are non flooded?,4,Complex_Counting
640,1051,6643.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
641,1052,6643.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
642,1053,6643.JPG,How many buildings are in this image?,4,Simple_Counting
643,1054,6643.JPG,What is the condition of road?,non flooded,Condition_Road
644,1055,6644.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
645,1056,6644.JPG,What is the condition of road?,non flooded,Condition_Road
646,1057,6644.JPG,How many buildings are non flooded?,4,Complex_Counting
647,1058,6644.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
648,1059,6644.JPG,How many buildings are in this image?,4,Simple_Counting
649,1060,6645.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
650,1061,6645.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
651,1062,6645.JPG,What is the condition of road?,non flooded,Condition_Road
652,1063,6645.JPG,How many buildings are non flooded?,5,Complex_Counting
653,1064,6645.JPG,How many buildings can be seen in the image?,5,Simple_Counting
654,1065,6646.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
655,1066,6646.JPG,Is the entire road flooded?,No,Yes/No_Road
656,1067,6646.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
657,1068,6646.JPG,What is the condition of road?,non flooded,Condition_Road
658,1069,6646.JPG,How many buildings are in this image?,4,Simple_Counting
659,1070,6647.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
660,1071,6647.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
661,1072,6647.JPG,How many buildings can be seen in this image?,5,Simple_Counting
662,1073,6647.JPG,What is the condition of road?,non flooded,Condition_Road
663,1074,6647.JPG,How many non flooded buildings can be seen in this image?,5,Complex_Counting
664,1075,6648.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
665,1076,6648.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
666,1077,6648.JPG,How many buildings are non flooded?,4,Complex_Counting
667,1078,6648.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
668,1079,6648.JPG,How many buildings can be seen in the image?,4,Simple_Counting
669,1080,6649.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
670,1081,6649.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
671,1082,6649.JPG,Is the entire road flooded?,No,Yes/No_Road
672,1088,6651.JPG,How many buildings can be seen in this image?,5,Simple_Counting
673,1089,6651.JPG,Is the entire road flooded?,No,Yes/No_Road
674,1090,6651.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
675,1091,6651.JPG,How many buildings are non flooded?,5,Complex_Counting
676,1092,6651.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
677,1093,6652.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
678,1094,6652.JPG,How many non flooded buildings can be seen in this image?,4,Complex_Counting
679,1095,6652.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
680,1096,6652.JPG,What is the condition of road?,non flooded,Condition_Road
681,1097,6652.JPG,How many buildings can be seen in this image?,4,Simple_Counting
682,1098,6654.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
683,1099,6654.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
684,1100,6654.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
685,1101,6654.JPG,How many buildings can be seen in this image?,4,Simple_Counting
686,1102,6654.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
687,1103,6655.JPG,Is the entire road flooded?,No,Yes/No_Road
688,1104,6655.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
689,1105,6655.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
690,1106,6655.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
691,1107,6655.JPG,How many buildings are in this image?,4,Simple_Counting
692,1108,6656.JPG,Is the entire road flooded?,No,Yes/No_Road
693,1109,6656.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
694,1110,6656.JPG,How many non flooded buildings can be seen in this image?,4,Complex_Counting
695,1111,6656.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
696,1112,6656.JPG,How many buildings are in the image?,4,Simple_Counting
697,1113,6657.JPG,What is the condition of road?,non flooded,Condition_Road
698,1114,6657.JPG,Is the entire road flooded?,No,Yes/No_Road
699,1115,6657.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
700,1116,6657.JPG,How many buildings can be seen in the image?,6,Simple_Counting
701,1117,6657.JPG,How many non flooded buildings can be seen in this image?,6,Complex_Counting
702,1118,6658.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
703,1119,6658.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
704,1120,6658.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
705,1121,6658.JPG,How many buildings can be seen in this image?,6,Simple_Counting
706,1122,6658.JPG,How many buildings are non flooded?,6,Complex_Counting
707,1128,6660.JPG,How many buildings can be seen in the image?,3,Simple_Counting
708,1129,6660.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
709,1130,6660.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
710,1131,6660.JPG,How many buildings are non flooded?,3,Complex_Counting
711,1132,6660.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
712,1133,6662.JPG,How many buildings can be seen in this image?,4,Simple_Counting
713,1134,6662.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
714,1135,6662.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
715,1136,6662.JPG,What is the condition of road?,non flooded,Condition_Road
716,1137,6662.JPG,Is the entire road flooded?,No,Yes/No_Road
717,1143,6664.JPG,How many non flooded buildings can be seen in this image?,1,Complex_Counting
718,1144,6664.JPG,How many buildings can be seen in the image?,1,Simple_Counting
719,1145,6664.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
720,1147,6666.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
721,1148,6667.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
722,1149,6668.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
723,1153,6670.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
724,1154,6670.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
725,1155,6670.JPG,What is the condition of road?,non flooded,Condition_Road
726,1162,6673.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
727,1163,6673.JPG,What is the condition of road?,non flooded,Condition_Road
728,1164,6673.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
729,1168,6675.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
730,1169,6676.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
731,1171,6678.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
732,1172,6678.JPG,What is the condition of road?,non flooded,Condition_Road
733,1173,6678.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
734,1176,6681.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
735,1177,6682.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
736,1182,6685.JPG,Is the entire road flooded?,No,Yes/No_Road
737,1183,6685.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
738,1184,6685.JPG,What is the condition of road?,non flooded,Condition_Road
739,1185,6686.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
740,1186,6686.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
741,1187,6686.JPG,Is the entire road flooded?,No,Yes/No_Road
742,1188,6687.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
743,1190,6689.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
744,1202,6692.JPG,How many buildings can be seen in the image?,3,Simple_Counting
745,1203,6692.JPG,How many buildings are non flooded in this image?,3,Complex_Counting
746,1204,6692.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
747,1205,6692.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
748,1206,6692.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
749,1207,6693.JPG,How many buildings are non flooded?,4,Complex_Counting
750,1208,6693.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
751,1209,6693.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
752,1210,6693.JPG,How many buildings are in this image?,4,Simple_Counting
753,1211,6693.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
754,1229,6701.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
755,1230,6701.JPG,What is the condition of the road in this image?,flooded,Condition_Road
756,1231,6701.JPG,Is the entire road non flooded?,No,Yes/No_Road
757,1232,6701.JPG,How many buildings are in the image?,13,Simple_Counting
758,1233,6701.JPG,How many buildings are non flooded in this image?,6,Complex_Counting
759,1234,6701.JPG,How many buildings are flooded in this image?,7,Complex_Counting
760,1235,6703.JPG,What is the condition of the road in this image?,flooded,Condition_Road
761,1236,6703.JPG,How many buildings are flooded?,4,Complex_Counting
762,1237,6703.JPG,How many non flooded buildings can be seen in this image?,14,Complex_Counting
763,1238,6703.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
764,1239,6703.JPG,How many buildings are in this image?,18,Simple_Counting
765,1240,6703.JPG,Is the entire road flooded?,Yes,Yes/No_Road
766,1241,6704.JPG,How many buildings can be seen in the image?,17,Simple_Counting
767,1242,6704.JPG,What is the condition of the road in this image?,flooded,Condition_Road
768,1243,6704.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
769,1244,6704.JPG,How many non flooded buildings can be seen in this image?,9,Complex_Counting
770,1245,6704.JPG,How many buildings are flooded in this image?,8,Complex_Counting
771,1246,6704.JPG,Is the entire road flooded?,Yes,Yes/No_Road
772,1247,6706.JPG,What is the condition of road?,flooded,Condition_Road
773,1248,6706.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
774,1249,6706.JPG,Is the entire road non flooded?,No,Yes/No_Road
775,1250,6706.JPG,How many non flooded buildings can be seen in this image?,14,Complex_Counting
776,1251,6706.JPG,How many buildings can be seen in this image?,14,Simple_Counting
777,1252,6707.JPG,How many buildings are flooded in this image?,2,Complex_Counting
778,1253,6707.JPG,How many non flooded buildings can be seen in this image?,13,Complex_Counting
779,1254,6707.JPG,What is the condition of the road in this image?,flooded,Condition_Road
780,1255,6707.JPG,How many buildings can be seen in the image?,15,Simple_Counting
781,1256,6707.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
782,1257,6707.JPG,Is the entire road flooded?,Yes,Yes/No_Road
783,1258,6708.JPG,Is the entire road non flooded?,No,Yes/No_Road
784,1259,6708.JPG,How many non flooded buildings can be seen in this image?,13,Complex_Counting
785,1260,6708.JPG,What is the condition of the road in this image?,flooded,Condition_Road
786,1261,6708.JPG,How many buildings are in the image?,13,Simple_Counting
787,1262,6708.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
788,1268,6710.JPG,What is the condition of road?,flooded,Condition_Road
789,1269,6710.JPG,How many buildings are non flooded in this image?,1,Complex_Counting
790,1270,6710.JPG,How many buildings are flooded in this image?,11,Complex_Counting
791,1271,6710.JPG,How many buildings can be seen in this image?,12,Simple_Counting
792,1272,6710.JPG,Is the entire road non flooded?,No,Yes/No_Road
793,1273,6710.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
794,1274,6711.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
795,1275,6711.JPG,What is the condition of road?,flooded,Condition_Road
796,1276,6711.JPG,Is the entire road flooded?,Yes,Yes/No_Road
797,1277,6711.JPG,How many buildings are in this image?,9,Simple_Counting
798,1278,6711.JPG,How many buildings are flooded in this image?,8,Complex_Counting
799,1279,6711.JPG,How many buildings are non flooded in this image?,1,Complex_Counting
800,1280,6712.JPG,How many buildings are flooded in this image?,3,Complex_Counting
801,1281,6712.JPG,What is the condition of road?,flooded,Condition_Road
802,1282,6712.JPG,How many buildings are in this image?,7,Simple_Counting
803,1283,6712.JPG,How many buildings are non flooded?,4,Complex_Counting
804,1284,6712.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
805,1285,6712.JPG,Is the entire road non flooded?,No,Yes/No_Road
806,1286,6713.JPG,How many buildings are in this image?,10,Simple_Counting
807,1287,6713.JPG,Is the entire road non flooded?,No,Yes/No_Road
808,1288,6713.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
809,1289,6713.JPG,What is the condition of the road in this image?,flooded,Condition_Road
810,1290,6713.JPG,How many non flooded buildings can be seen in this image?,5,Complex_Counting
811,1291,6713.JPG,How many buildings are flooded in this image?,5,Complex_Counting
812,1292,6714.JPG,Is the entire road non flooded?,No,Yes/No_Road
813,1293,6714.JPG,How many buildings are non flooded in this image?,2,Complex_Counting
814,1294,6714.JPG,What is the condition of road?,flooded,Condition_Road
815,1295,6714.JPG,How many buildings are in this image?,11,Simple_Counting
816,1296,6714.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
817,1297,6714.JPG,How many buildings are flooded?,9,Complex_Counting
818,1298,6715.JPG,How many buildings are flooded in this image?,10,Complex_Counting
819,1299,6715.JPG,How many non flooded buildings can be seen in this image?,4,Complex_Counting
820,1300,6715.JPG,How many buildings are in this image?,14,Simple_Counting
821,1301,6715.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
822,1302,6715.JPG,What is the condition of the road in this image?,flooded,Condition_Road
823,1303,6715.JPG,Is the entire road non flooded?,No,Yes/No_Road
824,1304,6716.JPG,Is the entire road flooded?,Yes,Yes/No_Road
825,1305,6716.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
826,1306,6716.JPG,How many buildings can be seen in this image?,15,Simple_Counting
827,1307,6716.JPG,What is the condition of the road in this image?,flooded,Condition_Road
828,1308,6716.JPG,How many buildings are flooded in this image?,15,Complex_Counting
829,1320,6719.JPG,How many buildings are non flooded?,6,Complex_Counting
830,1321,6719.JPG,How many buildings can be seen in the image?,6,Simple_Counting
831,1322,6719.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
832,1323,6719.JPG,What is the condition of road?,non flooded,Condition_Road
833,1324,6719.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
834,1325,6727.JPG,How many buildings are in this image?,6,Simple_Counting
835,1326,6727.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
836,1327,6727.JPG,How many buildings are non flooded?,6,Complex_Counting
837,1328,6728.JPG,How many buildings can be seen in the image?,6,Simple_Counting
838,1329,6728.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
839,1330,6728.JPG,How many buildings are non flooded in this image?,6,Complex_Counting
840,1331,6731.JPG,How many buildings are in this image?,5,Simple_Counting
841,1332,6731.JPG,How many buildings are non flooded?,5,Complex_Counting
842,1333,6731.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
843,1334,6732.JPG,How many buildings are in this image?,5,Simple_Counting
844,1335,6732.JPG,How many buildings are non flooded in this image?,5,Complex_Counting
845,1336,6732.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
846,1340,6734.JPG,How many non flooded buildings can be seen in this image?,5,Complex_Counting
847,1341,6734.JPG,How many buildings are in the image?,5,Simple_Counting
848,1342,6734.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
849,1343,6735.JPG,How many buildings are in the image?,4,Simple_Counting
850,1344,6735.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
851,1345,6735.JPG,How many non flooded buildings can be seen in this image?,4,Complex_Counting
852,1346,6736.JPG,How many buildings can be seen in this image?,4,Simple_Counting
853,1347,6736.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
854,1348,6736.JPG,How many buildings are non flooded?,4,Complex_Counting
855,1349,6737.JPG,How many buildings can be seen in the image?,4,Simple_Counting
856,1350,6737.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
857,1351,6737.JPG,How many non flooded buildings can be seen in this image?,4,Complex_Counting
858,1352,6738.JPG,How many buildings can be seen in this image?,3,Simple_Counting
859,1353,6738.JPG,How many buildings are non flooded?,3,Complex_Counting
860,1354,6738.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
861,1355,6739.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
862,1356,6739.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
863,1357,6739.JPG,How many buildings are in the image?,3,Simple_Counting
864,1364,6742.JPG,How many buildings are non flooded?,3,Complex_Counting
865,1365,6742.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
866,1366,6742.JPG,How many buildings are in the image?,3,Simple_Counting
867,1367,6743.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
868,1368,6743.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
869,1369,6743.JPG,How many buildings are in the image?,3,Simple_Counting
870,1373,6745.JPG,How many buildings are in the image?,3,Simple_Counting
871,1374,6745.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
872,1375,6745.JPG,How many buildings are non flooded in this image?,3,Complex_Counting
873,1376,6746.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
874,1377,6746.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
875,1378,6746.JPG,How many buildings are in this image?,3,Simple_Counting
876,1379,6747.JPG,How many buildings are non flooded?,3,Complex_Counting
877,1380,6747.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
878,1381,6747.JPG,How many buildings can be seen in the image?,3,Simple_Counting
879,1382,6748.JPG,Is the entire road flooded?,No,Yes/No_Road
880,1383,6748.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
881,1384,6748.JPG,How many buildings can be seen in this image?,4,Simple_Counting
882,1385,6748.JPG,How many buildings are non flooded?,4,Complex_Counting
883,1386,6748.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
884,1387,6749.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
885,1388,6749.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
886,1389,6749.JPG,How many buildings can be seen in this image?,4,Simple_Counting
887,1390,6750.JPG,What is the condition of road?,non flooded,Condition_Road
888,1391,6750.JPG,How many buildings can be seen in this image?,4,Simple_Counting
889,1392,6750.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
890,1393,6750.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
891,1394,6750.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
892,1403,6754.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
893,1404,6754.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
894,1405,6754.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
895,1406,6754.JPG,How many buildings can be seen in the image?,3,Simple_Counting
896,1407,6754.JPG,How many buildings are non flooded?,3,Complex_Counting
897,1408,6755.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
898,1409,6755.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
899,1410,6755.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
900,1411,6756.JPG,How many buildings are non flooded?,3,Complex_Counting
901,1412,6756.JPG,How many buildings can be seen in the image?,3,Simple_Counting
902,1413,6756.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
903,1414,6760.JPG,How many buildings are in the image?,6,Simple_Counting
904,1415,6760.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
905,1416,6760.JPG,How many buildings are non flooded?,6,Complex_Counting
906,1420,6762.JPG,How many buildings are in the image?,6,Simple_Counting
907,1421,6762.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
908,1422,6762.JPG,How many buildings are non flooded?,6,Complex_Counting
909,1423,6762.JPG,What is the condition of road?,non flooded,Condition_Road
910,1424,6762.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
911,1425,6763.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
912,1426,6763.JPG,Is the entire road flooded?,No,Yes/No_Road
913,1427,6763.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
914,1428,6764.JPG,How many buildings are non flooded in this image?,7,Complex_Counting
915,1429,6764.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
916,1430,6764.JPG,How many buildings are in the image?,7,Simple_Counting
917,1431,6764.JPG,Is the entire road flooded?,No,Yes/No_Road
918,1432,6764.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
919,1453,6770.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
920,1454,6770.JPG,Is the entire road flooded?,No,Yes/No_Road
921,1455,6770.JPG,How many non flooded buildings can be seen in this image?,8,Complex_Counting
922,1456,6770.JPG,What is the condition of road?,non flooded,Condition_Road
923,1457,6770.JPG,How many buildings are in this image?,8,Simple_Counting
924,1463,6772.JPG,Is the entire road flooded?,No,Yes/No_Road
925,1464,6772.JPG,How many buildings are in this image?,8,Simple_Counting
926,1465,6772.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
927,1466,6772.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
928,1467,6772.JPG,How many buildings are non flooded?,8,Complex_Counting
929,1468,6773.JPG,How many buildings are non flooded in this image?,6,Complex_Counting
930,1469,6773.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
931,1470,6773.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
932,1471,6773.JPG,What is the condition of the road in this image?,non flooded,Condition_Road
933,1472,6773.JPG,How many buildings are in this image?,6,Simple_Counting
934,1483,6776.JPG,Is the entire road non flooded?,Yes,Yes/No_Road
935,1484,6776.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
936,1485,6776.JPG,How many non flooded buildings can be seen in this image?,6,Complex_Counting
937,1486,6776.JPG,What is the condition of road?,non flooded,Condition_Road
